grade,max,min,range,average,var,size
2,380.539948,89.797668,290.74228,115.8038179,5138.561588,165
2,356.842499,55.950741,300.891758,101.7029415,2846.271553,171
3,357.78717,53.273701,304.513469,99.00288453,1441.793262,180
3,184.450989,79.681702,104.769287,97.55949329,353.9175665,167
3,358.687408,53.066021,305.621387,125.914642,7232.406813,207
3,357.519592,54.811836,302.707756,99.01078425,2323.562565,174
2,343.302979,59.577682,283.725297,99.40668561,1624.593308,173
2,125.244049,56.546406,68.697643,90.15913273,79.6395516,179
2,358.205292,54.453003,303.752289,101.107301,2640.629181,165
2,357.432922,56.713253,300.719669,97.89408853,2102.691158,173
2,357.111908,58.735302,298.376606,106.8753466,2723.131352,193
3,360.569702,56.924763,303.644939,110.7524849,4815.555921,197
3,356.014069,55.735802,300.278267,100.8502579,2000.328121,183
3,353.038788,59.813206,293.225582,106.6297691,3714.58534,184
3,384.960144,57.723835,327.236309,109.9622228,4015.856402,193
3,183.920975,56.981243,126.939732,96.11067789,420.7407813,176
3,366.883972,53.787376,313.096596,102.4451958,2653.125422,170
3,119.31382,54.890709,64.423111,93.10652678,85.91401792,172
3,361.256317,53.922592,307.333725,111.4436994,4682.571428,173
3,396.843384,53.634048,343.209336,113.5223743,5884.759479,189
2,181.072525,54.461472,126.611053,97.93236848,437.051908,176
3,177.724731,56.395489,121.329242,97.35366103,349.8778802,176
3,173.426208,54.629444,118.796764,95.88470437,406.0813881,178
3,354.725189,66.63372,288.091469,230.7646316,7247.691302,342
2,402.296539,54.350361,347.946178,198.809982,11945.05542,278
2,354.453583,54.061646,300.391937,173.7115917,10352.6691,363
2,330.334351,57.736748,272.597603,171.4757784,10288.29287,269
2,346.267548,53.51387,292.753678,209.7198559,9018.824394,328
2,380.60379,54.249657,326.354133,221.9304717,10742.23476,277
2,331.293152,57.603458,273.689694,179.0822573,10162.10914,288
2,334.280701,55.156216,279.124485,209.3810641,9361.702692,324
2,398.012695,54.531326,343.481369,166.8726736,8744.230326,319
3,352.644409,56.099628,296.544781,191.1758003,7604.822047,261
3,332.571228,57.852699,274.718529,192.6152269,10552.75215,311
3,328.440613,56.746094,271.694519,173.1947751,10034.39972,302
3,326.418732,56.687958,269.730774,145.2215693,7776.996993,249
2,346.640228,57.548813,289.091415,143.5226804,7194.474801,299
3,337.201538,58.724224,278.477314,179.5741034,7739.411856,308
3,353.275604,53.584507,299.691097,201.0954663,10894.46363,285
3,321.79892,54.83279,266.96613,195.8533199,10091.7525,206
3,406.671356,55.870472,350.800884,207.7285434,11609.8956,294
2,376.179321,57.547318,318.632003,154.6855939,8130.790485,279
2,338.372864,53.58271,284.790154,143.4179933,8889.224992,345
3,316.277985,58.781227,257.496758,176.0732962,6036.592751,238
2,388.830139,56.860817,331.969322,175.3296335,8432.554154,301
3,327.906891,59.99575,267.911141,176.1766134,8776.82953,234
3,327.36557,53.914722,273.450848,122.473064,7249.425589,227
3,341.634552,59.156509,282.478043,138.6931747,5709.387975,274
3,327.002411,61.858627,265.143784,181.1902766,6512.577304,207
3,347.191711,54.498638,292.693073,162.1136944,9993.612866,220
3,348.205292,60.358242,287.84705,207.0965618,8322.435278,283
3,380.654114,54.403625,326.250489,167.9285564,8522.07142,294
2,376.829926,53.35746,323.472466,176.7593581,9286.47786,329
2,338.035339,73.319321,264.716018,118.6730919,1265.122431,182
4,467.148041,87.718002,379.430039,134.984653,5295.55373,201
3,339.958374,79.219048,260.739326,121.7955704,3813.211974,172
4,506.184631,71.591103,434.593528,139.2942387,8949.151701,172
4,325.070343,73.50074,251.569603,115.0986058,2211.540986,165
3,315.647461,63.654575,251.992886,114.8819553,1105.98003,180
3,341.895477,77.1828,264.712677,117.3581532,2907.229443,169
3,384.061096,72.853767,311.207329,119.5058262,2525.94002,177
3,531.491028,54.216549,477.274479,162.4151856,13183.7218,197
3,351.558563,65.37326,286.185303,123.5159099,2695.542251,183
3,351.419281,100.035355,251.383926,125.5766361,3662.653184,181
2,525.253479,88.045563,437.207916,111.5407968,1798.694142,180
4,368.875641,81.707336,287.168305,137.3548361,7275.667525,168
3,530.482117,84.396385,446.085732,147.6268655,8677.371114,183
2,346.031464,57.47567,288.555794,113.9630043,2984.257029,175
2,344.276489,67.447014,276.829475,147.7074575,6903.163936,195
3,535.380981,82.530006,452.850975,182.5342823,21755.43213,184
3,131.307343,94.308838,36.998505,100.6577752,29.05222106,184
3,131.800568,54.597317,77.203251,95.57665635,134.8640324,181
3,420.023376,76.152893,343.870483,123.755895,3903.971421,222
3,358.69574,72.233917,286.461823,125.9820042,4181.362931,224
1,119.024002,73.533104,45.490898,99.47625549,52.17483901,179
4,137.159851,79.053055,58.106796,108.4821611,43.1134849,178
4,338.902008,86.867508,252.0345,126.433198,2736.479525,194
3,142.721466,60.510868,82.210598,101.8079944,192.1478493,187
4,304.030487,72.086784,231.943703,109.4375533,716.8128383,188
4,346.666473,84.682076,261.984397,145.432641,6937.260341,185
2,336.07016,91.21373,244.85643,155.3676404,6861.176733,245
4,391.779236,76.746147,315.033089,121.2369721,4060.013406,171
3,468.208191,80.706001,387.50219,136.6038352,9118.632139,276
4,338.035339,73.319321,264.716018,118.6730919,1265.122431,182
