label,max,min,range,average,var,size
high,341.75885,0.0,341.75885,164.30499015454546,24455.320058777499,110
high,334.66861,0.0,334.66861,160.39468842056078,24462.795697307243,107
high,319.313843,0.0,319.313843,116.97872805932207,11633.339183128983,118
high,318.597534,0.0,318.597534,171.84961622500001,23444.682483638404,120
high,328.808228,0.0,328.808228,142.95236965714287,23408.726655911145,105
high,317.873077,0.0,317.873077,155.54273141379309,22666.130032901496,116
high,333.956726,0.0,333.956726,153.03470847272732,21731.234374670079,110
high,319.143372,0.0,319.143372,144.30989179629626,19911.185596653959,108
high,306.90274,0.0,306.90274,136.04299683653841,17502.094917631719,104
high,315.178162,0.0,315.178162,127.63985700869567,16962.83499100717,115
high,339.878906,0.0,339.878906,152.93181372115387,22706.919870537833,104
high,335.124298,0.0,335.124298,147.93338857142857,23374.501038233382,105
high,301.769165,0.0,301.769165,150.25424764485982,19988.934178410687,107
law,194.006577,0.0,194.006577,49.975544495238097,2378.273142786612,105
law,115.182961,0.0,115.182961,51.733078141414161,1988.2784452042829,99
law,117.076706,0.0,117.076706,53.523849796296311,2221.2820030451426,108
law,109.95285,0.0,109.95285,52.280327717171716,2035.645480682831,99
law,97.859444,0.0,97.859444,55.630394043103458,2038.8224348525164,116
law,98.099442,0.0,98.099442,58.611034626086962,2133.8334195462385,115
law,99.133965,0.0,99.133965,56.144826791304354,2040.0589813848696,115
law,113.87989,0.0,113.87989,59.627623000000007,2597.1542268336561,107
law,116.163246,0.0,116.163246,59.44396910833332,2054.524232278618,120
law,105.879494,0.0,105.879494,64.380179214285718,2221.1264505495201,112
law,97.029999,0.0,97.029999,35.303801271428568,2109.5312047409038,70
law,123.588226,0.0,123.588226,55.385673754237267,2052.8456089124952,118
law,116.460426,0.0,116.460426,59.321649196428588,2372.37641310666,112
law,103.558861,0.0,103.558861,52.683603064814797,2070.4436877779963,108
law,110.719406,0.0,110.719406,59.759669767676776,2141.2436416738174,99
law,104.702423,0.0,104.702423,50.928927419047625,2366.9054885968499,105
law,117.786942,0.0,117.786942,54.514593259615381,2194.5501695569146,104
law,111.631844,0.0,111.631844,58.17358578431373,2690.6838204696114,102
law,109.426201,0.0,109.426201,60.42262201904763,2553.7487265686423,105
law,110.05722,0.0,110.05722,58.873681605769221,2450.8073230172627,104
law,0.0,0.0,0.0,0.0,0.0,62
law,96.687088,0.0,96.687088,6.4324373370786505,572.42426525936105,89
law,0.0,0.0,0.0,0.0,0.0,88
law,123.544769,0.0,123.544769,42.489538602272731,2501.91207766156,88
law,134.058487,0.0,134.058487,42.546176436170214,2937.1900044672302,94
law,121.227982,0.0,121.227982,44.820381107142865,2959.7170542739959,84
law,142.223511,0.0,142.223511,47.423852945054954,3013.2211828456529,91
law,120.091988,0.0,120.091988,45.68536323,2893.3076942404773,100
law,109.506477,0.0,109.506477,44.187354463917529,2677.323076544812,97
law,110.949631,0.0,110.949631,51.515695103092774,2847.8395921927431,97
law,125.515549,0.0,125.515549,47.237257076086955,2908.5190131199761,92
law,111.15963,0.0,111.15963,33.325411628571423,2427.4683014920843,70
law,113.076569,0.0,113.076569,50.649815574468093,2796.7533785553273,94
law,115.066284,0.0,115.066284,48.956954120481932,2988.4208239944942,83
law,120.749283,0.0,120.749283,50.154363416666676,2857.3571039354747,96
law,115.33075,0.0,115.33075,58.765608228260888,3032.61274565655,92
law,118.376305,0.0,118.376305,56.658815902173934,3216.0107854296175,92
law,118.602142,0.0,118.602142,32.879323241935481,2647.58691081597,62
law,152.645935,0.0,152.645935,54.38159462886599,3299.5639464324736,97
law,118.658699,0.0,118.658699,56.373998265957447,3052.7005439051791,94
law,127.494232,0.0,127.494232,53.61882275,3167.5874893106561,88
law,149.282257,0.0,149.282257,53.348675552083336,3245.3429970357834,96
law,126.915565,0.0,126.915565,70.422813147826091,3312.3474419595655,115
law,115.008286,0.0,115.008286,66.947271285714265,2902.6865778196425,112
law,117.014961,0.0,117.014961,44.653796271604932,2905.9738308015612,81
law,131.394333,0.0,131.394333,68.268869715686279,3401.431123203542,102
law,123.407249,0.0,123.407249,56.06205446000002,3042.467919160184,100
law,180.920929,0.0,180.920929,60.740873745098028,3188.4769120845262,102
law,150.849136,0.0,150.849136,61.262075361702124,3196.5880108963829,94
law,106.670387,0.0,106.670387,30.289765757142863,2148.4885443491453,70
law,114.748756,0.0,114.748756,60.707158767241381,2701.8629087567529,116
law,157.655121,0.0,157.655121,60.442098781818196,2773.1999748480157,110
law,113.867172,0.0,113.867172,61.169853326923054,2755.9530825383908,104
law,159.196091,0.0,159.196091,7.0138826769230773,1019.9317207169954,65
law,126.482918,0.0,126.482918,54.499276490196081,3024.6394509881861,102
law,126.967827,0.0,126.967827,52.976002234042554,3199.484157986597,94
law,128.969177,0.0,128.969177,55.439283009999997,3086.6907176043082,100
